airport_group,date,hour,feat_season,feat_sched_flights_cnt,feat_sched_concurrence
E,2025-10-03,18,autumn,4,1
F,2025-10-03,18,autumn,4,1
G,2025-10-03,18,autumn,3,1
A,2025-10-03,19,autumn,3,0
B,2025-10-03,19,autumn,2,0
C,2025-10-03,19,autumn,3,0
D,2025-10-03,19,autumn,0,0
E,2025-10-03,19,autumn,4,1
F,2025-10-03,19,autumn,0,0
G,2025-10-03,19,autumn,2,0
A,2025-10-03,20,autumn,3,0
B,2025-10-03,20,autumn,1,0
C,2025-10-03,20,autumn,1,0
D,2025-10-03,20,autumn,3,1
E,2025-10-03,20,autumn,0,0
F,2025-10-03,20,autumn,0,0
G,2025-10-03,20,autumn,1,0
A,2025-10-03,21,autumn,1,0
B,2025-10-03,21,autumn,1,0
C,2025-10-03,21,autumn,0,0
D,2025-10-03,21,autumn,2,1
E,2025-10-03,21,autumn,2,1
F,2025-10-03,21,autumn,0,0
G,2025-10-03,21,autumn,4,1
A,2025-10-03,22,autumn,0,0
B,2025-10-03,22,autumn,0,0
C,2025-10-03,22,autumn,0,0
D,2025-10-03,22,autumn,0,0
E,2025-10-03,22,autumn,0,0
F,2025-10-03,22,autumn,0,0
G,2025-10-03,22,autumn,1,0
A,2025-10-03,23,autumn,0,0
B,2025-10-03,23,autumn,0,0
C,2025-10-03,23,autumn,0,0
D,2025-10-03,23,autumn,0,0
E,2025-10-03,23,autumn,0,0
F,2025-10-03,23,autumn,0,0
G,2025-10-03,23,autumn,0,0
A,2025-10-04,0,autumn,0,0
B,2025-10-04,0,autumn,0,0
C,2025-10-04,0,autumn,0,0
D,2025-10-04,0,autumn,0,0
E,2025-10-04,0,autumn,0,0
F,2025-10-04,0,autumn,0,0
G,2025-10-04,0,autumn,0,0
A,2025-10-04,1,autumn,0,0
B,2025-10-04,1,autumn,0,0
C,2025-10-04,1,autumn,0,0
D,2025-10-04,1,autumn,0,0
E,2025-10-04,1,autumn,0,0
F,2025-10-04,1,autumn,0,0
G,2025-10-04,1,autumn,0,0
A,2025-10-04,2,autumn,0,0
B,2025-10-04,2,autumn,0,0
C,2025-10-04,2,autumn,0,0
D,2025-10-04,2,autumn,0,0
E,2025-10-04,2,autumn,0,0
F,2025-10-04,2,autumn,0,0
G,2025-10-04,2,autumn,0,0
A,2025-10-04,3,autumn,0,0
B,2025-10-04,3,autumn,0,0
C,2025-10-04,3,autumn,0,0
D,2025-10-04,3,autumn,0,0
E,2025-10-04,3,autumn,0,0
F,2025-10-04,3,autumn,0,0
G,2025-10-04,3,autumn,0,0
A,2025-10-04,4,autumn,1,0
B,2025-10-04,4,autumn,0,0
C,2025-10-04,4,autumn,0,0
D,2025-10-04,4,autumn,0,0
E,2025-10-04,4,autumn,0,0
F,2025-10-04,4,autumn,0,0
G,2025-10-04,4,autumn,0,0
A,2025-10-04,5,autumn,2,0
B,2025-10-04,5,autumn,2,1
C,2025-10-04,5,autumn,0,0
D,2025-10-04,5,autumn,0,0
E,2025-10-04,5,autumn,0,0
F,2025-10-04,5,autumn,0,0
G,2025-10-04,5,autumn,0,0
A,2025-10-04,6,autumn,5,1
B,2025-10-04,6,autumn,3,1
C,2025-10-04,6,autumn,0,0
D,2025-10-04,6,autumn,0,0
E,2025-10-04,6,autumn,2,0
F,2025-10-04,6,autumn,0,0
G,2025-10-04,6,autumn,0,0
A,2025-10-04,7,autumn,1,0
B,2025-10-04,7,autumn,1,0
C,2025-10-04,7,autumn,0,0
D,2025-10-04,7,autumn,0,0
E,2025-10-04,7,autumn,3,0
F,2025-10-04,7,autumn,0,0
G,2025-10-04,7,autumn,0,0
A,2025-10-04,8,autumn,4,1
B,2025-10-04,8,autumn,0,0
C,2025-10-04,8,autumn,3,0
D,2025-10-04,8,autumn,2,1
E,2025-10-04,8,autumn,0,0
F,2025-10-04,8,autumn,0,0
G,2025-10-04,8,autumn,0,0
A,2025-10-04,9,autumn,5,1
B,2025-10-04,9,autumn,3,1
C,2025-10-04,9,autumn,1,0
D,2025-10-04,9,autumn,1,0
E,2025-10-04,9,autumn,4,1
F,2025-10-04,9,autumn,0,0
G,2025-10-04,9,autumn,2,0
A,2025-10-04,10,autumn,3,0
B,2025-10-04,10,autumn,4,1
C,2025-10-04,10,autumn,0,0
D,2025-10-04,10,autumn,0,0
E,2025-10-04,10,autumn,1,0
F,2025-10-04,10,autumn,0,0
G,2025-10-04,10,autumn,2,0
A,2025-10-04,11,autumn,2,0
B,2025-10-04,11,autumn,0,0
C,2025-10-04,11,autumn,0,0
D,2025-10-04,11,autumn,4,1
E,2025-10-04,11,autumn,2,0
F,2025-10-04,11,autumn,0,0
G,2025-10-04,11,autumn,0,0
A,2025-10-04,12,autumn,0,0
B,2025-10-04,12,autumn,3,1
C,2025-10-04,12,autumn,0,0
D,2025-10-04,12,autumn,1,0
E,2025-10-04,12,autumn,1,0
F,2025-10-04,12,autumn,0,0
G,2025-10-04,12,autumn,0,0
A,2025-10-04,13,autumn,1,0
B,2025-10-04,13,autumn,3,1
C,2025-10-04,13,autumn,0,0
D,2025-10-04,13,autumn,0,0
E,2025-10-04,13,autumn,2,0
F,2025-10-04,13,autumn,0,0
G,2025-10-04,13,autumn,0,0
A,2025-10-04,14,autumn,4,1
B,2025-10-04,14,autumn,0,0
C,2025-10-04,14,autumn,0,0
D,2025-10-04,14,autumn,0,0
E,2025-10-04,14,autumn,0,0
F,2025-10-04,14,autumn,0,0
G,2025-10-04,14,autumn,0,0
A,2025-10-04,15,autumn,2,0
B,2025-10-04,15,autumn,1,0
C,2025-10-04,15,autumn,0,0
D,2025-10-04,15,autumn,0,0
E,2025-10-04,15,autumn,0,0
F,2025-10-04,15,autumn,0,0
G,2025-10-04,15,autumn,2,0
A,2025-10-04,16,autumn,0,0
B,2025-10-04,16,autumn,0,0
C,2025-10-04,16,autumn,0,0
D,2025-10-04,16,autumn,0,0
E,2025-10-04,16,autumn,2,0
F,2025-10-04,16,autumn,0,0
G,2025-10-04,16,autumn,1,0
A,2025-10-04,17,autumn,0,0
B,2025-10-04,17,autumn,0,0
C,2025-10-04,17,autumn,0,0
D,2025-10-04,17,autumn,0,0
E,2025-10-04,17,autumn,0,0
F,2025-10-04,17,autumn,0,0
G,2025-10-04,17,autumn,0,0
A,2025-10-04,18,autumn,0,0
B,2025-10-04,18,autumn,0,0
C,2025-10-04,18,autumn,0,0
D,2025-10-04,18,autumn,0,0
E,2025-10-04,18,autumn,0,0
F,2025-10-04,18,autumn,0,0
G,2025-10-04,18,autumn,0,0
A,2025-10-04,19,autumn,0,0
B,2025-10-04,19,autumn,0,0
C,2025-10-04,19,autumn,0,0
D,2025-10-04,19,autumn,0,0
E,2025-10-04,19,autumn,0,0
F,2025-10-04,19,autumn,0,0
G,2025-10-04,19,autumn,0,0
A,2025-10-04,20,autumn,0,0
B,2025-10-04,20,autumn,0,0
C,2025-10-04,20,autumn,0,0
D,2025-10-04,20,autumn,0,0
E,2025-10-04,20,autumn,0,0
F,2025-10-04,20,autumn,0,0
G,2025-10-04,20,autumn,0,0
A,2025-10-04,21,autumn,0,0
B,2025-10-04,21,autumn,0,0
C,2025-10-04,21,autumn,0,0
D,2025-10-04,21,autumn,0,0
E,2025-10-04,21,autumn,0,0
F,2025-10-04,21,autumn,0,0
G,2025-10-04,21,autumn,0,0
A,2025-10-04,22,autumn,0,0
B,2025-10-04,22,autumn,0,0
C,2025-10-04,22,autumn,0,0
D,2025-10-04,22,autumn,0,0
E,2025-10-04,22,autumn,0,0
F,2025-10-04,22,autumn,0,0
G,2025-10-04,22,autumn,0,0
A,2025-10-04,23,autumn,0,0
B,2025-10-04,23,autumn,0,0
C,2025-10-04,23,autumn,0,0
D,2025-10-04,23,autumn,0,0
E,2025-10-04,23,autumn,0,0
F,2025-10-04,23,autumn,0,0
G,2025-10-04,23,autumn,0,0
A,2025-10-05,0,autumn,0,0
B,2025-10-05,0,autumn,0,0
C,2025-10-05,0,autumn,0,0
D,2025-10-05,0,autumn,0,0
E,2025-10-05,0,autumn,0,0
F,2025-10-05,0,autumn,0,0
G,2025-10-05,0,autumn,0,0
A,2025-10-05,1,autumn,0,0
B,2025-10-05,1,autumn,0,0
C,2025-10-05,1,autumn,0,0
D,2025-10-05,1,autumn,0,0
E,2025-10-05,1,autumn,0,0
F,2025-10-05,1,autumn,0,0
G,2025-10-05,1,autumn,0,0
A,2025-10-05,2,autumn,0,0
B,2025-10-05,2,autumn,0,0
C,2025-10-05,2,autumn,0,0
D,2025-10-05,2,autumn,0,0
E,2025-10-05,2,autumn,0,0
F,2025-10-05,2,autumn,0,0
G,2025-10-05,2,autumn,0,0
A,2025-10-05,3,autumn,0,0
B,2025-10-05,3,autumn,0,0
C,2025-10-05,3,autumn,0,0
D,2025-10-05,3,autumn,0,0
E,2025-10-05,3,autumn,0,0
F,2025-10-05,3,autumn,0,0
G,2025-10-05,3,autumn,0,0
A,2025-10-05,4,autumn,0,0
B,2025-10-05,4,autumn,0,0
C,2025-10-05,4,autumn,0,0
D,2025-10-05,4,autumn,0,0
E,2025-10-05,4,autumn,0,0
F,2025-10-05,4,autumn,0,0
G,2025-10-05,4,autumn,0,0
A,2025-10-05,5,autumn,0,0
B,2025-10-05,5,autumn,0,0
C,2025-10-05,5,autumn,0,0
D,2025-10-05,5,autumn,0,0
E,2025-10-05,5,autumn,0,0
F,2025-10-05,5,autumn,0,0
G,2025-10-05,5,autumn,0,0
A,2025-10-05,6,autumn,0,0
B,2025-10-05,6,autumn,0,0
C,2025-10-05,6,autumn,0,0
D,2025-10-05,6,autumn,0,0
E,2025-10-05,6,autumn,0,0
F,2025-10-05,6,autumn,0,0
G,2025-10-05,6,autumn,0,0
A,2025-10-05,7,autumn,1,0
B,2025-10-05,7,autumn,0,0
C,2025-10-05,7,autumn,0,0
D,2025-10-05,7,autumn,0,0
E,2025-10-05,7,autumn,0,0
F,2025-10-05,7,autumn,0,0
G,2025-10-05,7,autumn,0,0
A,2025-10-05,8,autumn,0,0
B,2025-10-05,8,autumn,1,0
C,2025-10-05,8,autumn,0,0
D,2025-10-05,8,autumn,0,0
